功夫3D	功夫
赛尔号大电影2：雷伊与迈尔斯	赛尔号大电影2之雷伊与迈尔斯
潜江红	虾哥的故事
陌生	忘了去懂你
智取威虎山3D	智取威虎山
林海雪原3D	智取威虎山
白发魔女传3D	白发魔女传之明月天国
冰雪十一天	冰雪11天
西藏的天空	西藏天空
路花	线索
超越潜能(港)	超验骇客
全面进化(台)	超验骇客
超越	超验骇客
血色战神	绝无退路
虎啸南天	绝无退路
爱情部落之婚姻指南	爱谁谁
拐杖老师	拐杖
绑架对门狗	搞定对门狗
双骏传奇	国宝疑云
18亿红线	十八亿红线
危城	危城之恋
铁蛋儿的情歌	美姐
幸福旅行团	等风来
天台	天台爱情
我们的歌	初恋未满
歌的神	初恋未满
钝秀才	蹉跎行
水浒人物谱之金枪手徐宁	金枪手徐宁
安庆喋血	刺夜
龙之谷之黑龙崛起	龙之谷：破晓奇兵
龙之谷大电影	龙之谷：破晓奇兵
龙之谷前传	龙之谷：破晓奇兵
水浒人物谱之菜园子张青	菜园子张青
幸福三角地	三角地
e恋迷情	地下室惊魂
邋遢大王奇遇记 影院版	邋遢大王奇遇记
微电影《美丽》	美丽
L剧美丽	美丽
王子的吻	小胖妞前传（上）
大兵小将系列大兵金宝历险记	大兵金宝历险记
妙姗之异境巴黎	妙之异境巴黎
名模	我的美丽王国
刺客教条(港	刺客信条
台)	刺客信条
海阔天空(台)	中国合伙人
三个中国先生	中国合伙人
中国先生	中国合伙人
荷都奇遇	荷都之恋
刘海粟	叛逆大师刘海粟的故事
十二星座发财梦之猎音师	猎音师
惊梦	无声情人
万有坏力	蓝鲸过度放松
水浒人物谱之小旋风柴进	小旋风柴进
拼车惊情	诡拼车
目擊者	目击者之追凶
水浒人物谱之玉麒麟卢俊义	玉麒麟卢俊义
致敬青春：致我们终将逝去的青春！	致敬青春
快乐大本营之快乐到家	快乐到家
快乐到家之百万宝贝	快乐到家
无间罪	无间罪：僵尸重生
我不是傻瓜	我的影子在奔跑
吃记忆的大雪球	宝贝女儿好妈妈之吃记忆的大雪球
宝贝女儿好妈妈大电影	宝贝女儿好妈妈之吃记忆的大雪球
賭城風雲	澳门风云
赌神4：谁与争锋	澳门风云
八七会议	风云1927
江岸风云	风云1927
神獸巴打	刑警兄弟
神兽刑警	刑警兄弟
啊！朋友还钱	啊朋友还钱
毛遂传奇	毛遂自荐
扎西大转折	扎西1935
雷锋的美丽年华	青春雷锋
永远的雪山草地	走过雪山草地
星光璀璨的夏天	晚安·夏
追你在天边	追你到天边
工会主席	咱们的工会主席
借你俩胆儿	借你俩胆
生死守望	绿色的梦
别和我谈高富帅	别跟我谈高富帅
旅行也会开花	别跟我谈高富帅
我想有一个梦	我想有个梦
早见晚爱	早见，晚爱
西施 2011	西施
華麗上班族	华丽上班族
华丽上班族之生活与生存	华丽上班族
软柿子	原谅我的青春
向阳坡	向阳坡传说
老司机	爱情的士
草食动物殉难记	兔爷狂想曲
黄山	时光的旅行
疯狂漂移假爸爸	疯狂飘移假爸爸
假爸爸	疯狂飘移假爸爸
分手速递	因情圆缺1：分手速递
窒命替身	致命替身
致命·替身	致命替身
海澜	梦幻岛
孤膽少年	孤胆少年
钗头凤	沈园情
姐妹排	杜鹃花飞
水浒人物谱之铁面孔目裴宣	铁面孔目裴宣
巫山的红	她们的名字叫红
她们的名字叫做红	她们的名字叫红
飞行公路	一克拉梦想之飞行公路
黒い四角	黑四角
黑方块	黑四角
茶香三部曲之咫尺	咫尺
DZMZ大自鸣钟2作家	大自鸣钟2作家
红芦苇	一江明烛
路在远方	路的远方
两情双月	夏日示爱
茶香三部曲之回家	回家
爱，很美	爱很美
美丽的背后	爱很美
青蛙王国之我嘞个去	青蛙王国
骊靬情	罗西与莫妮卡之骊靬情
罗西与莫妮卡	罗西与莫妮卡之骊靬情
沙湖沔阳州	沔阳一九一一
沔阳1911	沔阳一九一一
爱神来了	爱神
鱼和它之恋	鮀·恋
鮀恋	鮀·恋
养蟹人	蟹王
吴裕泰茶香三部曲之集合	集合
弹无虚发之风戈壁	弹无虚发之深藏不露
弹无虚发之夺命童谣	弹无虚发之深藏不露
磨剪子戗菜刀	磨剪子抢菜刀
那些花儿	那朵花儿
9号公路	九号公路
忠义侠	周仁回府
鸳鸯泪	周仁回府
成吉思汗的十个勇士	阿尔巴特
十户	阿尔巴特
十勇士	阿尔巴特
父子神探（第八部）	父子神探之龙抬头
金刚王	金刚王：死亡救赎
电影版小小飞虎队	小小飞虎队
小小飞虎队金龙版	小小飞虎队
西柏坡2·英雄王二小	西柏坡2：英雄王二小
阿米走步	阿米·走步
朋友！朋友！	阿米·走步
1932·马迭尔风云	远东一九三二（下）风云马迭尔
远东一九三二之风云马迭尔	远东一九三二（下）风云马迭尔
今日我出警	今天我出警
亲人	咱们是亲人
青苹果	姑娘
黑飘带	白手绢
刑警张玉贵的队长生活	刑警张玉贵之队长生活
刑警张玉贵第二部	刑警张玉贵之队长生活
刑警张玉贵2	刑警张玉贵之队长生活
刑警张玉贵第三部	刑警张玉贵之三：执法者
刑警张玉贵3	刑警张玉贵之三：执法者
刑警张玉贵第四部	刑警张玉贵之四：忠孝两全
刑警张玉贵4	刑警张玉贵之四：忠孝两全
末日之恋	逐爱之旅
绝命逃亡	白幽灵传奇之绝命逃亡
最后的战争	白幽灵传奇之绝命逃亡
驱逐者	白幽灵传奇之绝命逃亡
驱逐之人	白幽灵传奇之绝命逃亡
超級經理人	超级经纪人
七年	爱呦，阿斗
李豁子的婚事	李祥和的婚事
乡村女教师	望月
吕梁铁血	吕梁铁骨
虎头要塞：一封没有发出的信	虎头要塞之一封没有发出的信
虎头要塞：舌头	虎头要塞之舌头
烂猫	猫烂
爱在云端	彼端
海神003	海神密码
玩不起	三人床
有一种爱	有一种爱叫做放手
李豁子离婚	有一种爱叫做放手
喜羊羊与灰太狼大电影5	喜羊羊与灰太狼之喜气羊羊过蛇年
喜羊羊与灰太狼之冒险蛇年传	喜羊羊与灰太狼之喜气羊羊过蛇年
喜羊羊与灰太狼5	喜羊羊与灰太狼之喜气羊羊过蛇年
曖	暧
愛你的我	暧
冰裸杀(港)	制服
恶魔右手	制服
红眼睛	制服
瘟泉	人间蒸发
觀世音菩薩的故事	观世音菩萨的故事
观世音菩萨授记经	观世音菩萨的故事
不眴太子	观世音菩萨的故事
童子发愿	观世音菩萨的故事
观世音菩萨普门品	观世音菩萨的故事
六字大明陀罗尼的故事	观世音菩萨的故事
大悲心陀罗尼的故事	观世音菩萨的故事
北京纯爱故事	那一天
暴雨将至	梦想就在身边
鼓岭故事	梦中鼓岭
七夜惊魂	异度迷局
巴啦啦小魔仙大电影	巴啦啦小魔仙
小时代1.0折纸时代	小时代
小时代电影版	小时代
猛龍特警之天羅地網	猛龙特警之天罗地网
新警察故事之人间有情	猛龙特警之天罗地网
爱的季节	回到爱开始的地方
宫电影版	宫锁沉香
爱与失落	爱迷失
小和尚大当家之智斗三笨贼	小和尚大当家
Come on！汪星人	金牌流浪狗
風暴	风暴
激戰	激战
激战：勇者不败(台)	激战
激战MMA	激战
怒放	怒放之青春再见
怒放青春	怒放之青春再见
怒放2013	怒放之青春再见
蒲怨	血彩
越来越好·村晚	越来越好之村晚
乐山爱	乐山·爱
夺宝幸运星大电影之金箍棒传奇	金箍棒传奇
开心西游记	金箍棒传奇
追影子的人	逐影
青春2013	青春
摄影师的秘密	摄影师
小企鹅波鲁鲁之冰雪世界赛车冒险记	波鲁鲁冰雪大冒险
大禹	华夏之王
一个人的战争	私人战争
请你相信我	凭啥相信你
山之巅(原著) ； Mr.Liu's Marragies(英语译名)	老刘的婚路历程
工体爱情故事	谁说我们不会爱
父亲朱邦月	为爱而来
父亲	为爱而来
最后一次说爱你	爱情时光机
天堂的午餐	天堂午餐
妈妈，我爱您(港)	我的狗狗我的爱
我和狗狗有个约会	我的狗狗我的爱
妙狗仁心	我的狗狗我的爱
水浒人物谱之大刀关胜	大刀关胜
大侠关胜	大刀关胜
水浒人物谱之旱地忽律朱贵	旱地忽律朱贵
水浒人物谱之神算子蒋敬	神算子蒋敬
绝对搭档之滑雪场事件	绝对搭档
雪地疑案	绝对搭档
环太平洋2	环太平洋：雷霆再起
环太平洋2：雷霆再起	环太平洋：雷霆再起
环太平洋2：起义时刻(台)	环太平洋：雷霆再起
悍战太平洋2：起义时空(港)	环太平洋：雷霆再起
环太平洋2：崛起	环太平洋：雷霆再起
环太平洋2：漩涡	环太平洋：雷霆再起
颍河岸边的春天	颍河岸畔的春天
力王之真正的敵人	力王之真正敌人
交换之旅	交换旅行
雾里看花	柏拉图之梦
无敌破坏王2	无敌破坏王2：大闹互联网
无敌破坏王2：网路大暴走(台)	无敌破坏王2：大闹互联网
无敌破坏王2：打爆互联网(港)	无敌破坏王2：大闹互联网
无敌破坏王2：破坏王大闹互联网	无敌破坏王2：大闹互联网
特种救援英雄	救火英雄
洛克王国大电影2	洛克王国2：圣龙的心愿
詭嬰	诡婴吉咪
诡眼	诡婴吉咪
夏当与亚娃	我想和你好好的
杀手梦影	海曲梦影
烟台——莫里斯	再爱一次好不好
聽見下雨的聲音	听见下雨的声音
奇迹：追踪彩虹	奇迹：追逐彩虹
城里城外	错位恋人
《萤火虫不说2：苦角》	苦角
Rush短片：逆转	逆转
我的罗马假日	新罗马假日
234說愛你	234说爱你
我心凝望的爱情	234说爱你
第四者	234说爱你
异刑	诡镇
险路勿近	诡镇
儿女传奇之民国警花	民国警花
幻想症	孤独幻者
瑪德2號	玛德2号
玛德二号	玛德2号
勇敢爱之石头剪刀布	石头剪刀布
刑警队长	警界无声
成成烽火之金戈铁马	成成烽火之浴血奋战
一触即发	猎仇者
一个导演的流产	干掉导演
山寨也疯狂	都是手机惹的祸
一号化妆间电影版	一号化妆间
致命CS	鬼马灯
九死一生 :把一切献给党	九死一生之把一切献给党
寒戰II	寒战2
寒战II	寒战2
被偷走的5年	被偷走的那五年
被偷走的时光	被偷走的那五年
最后一次说爱你	被偷走的那五年
倾城之泪2	被偷走的那五年
悲伤成河	被偷走的那五年
幽灵车库	三更车库
地下11米	三更车库
朝内81号	京城81号
智战	智战1940
闯入者*	闯入者
你要去北京	我要回桃花江
毛主席在杨家沟	杨家沟的天
軍中樂園	军中乐园
海棠花开	大山里的春天
快乐足球	圣龙奇兵大冒险
仁者天下之凤舞九天	圣龙奇兵大冒险
圣龙奇兵	圣龙奇兵大冒险
逆警	魔警
三月之恋	三月
甘祖昌将军	这样一位将军
共和国名将·傅继泽智斗泊头	傅继泽智斗泊头
霸王别姬(戏曲电影)	霸王别姬(京剧)
霸王别姬3D	霸王别姬(京剧)
霸王别姬	霸王别姬(京剧)
龙凤呈祥	龙凤呈祥(京剧)
龙凤呈祥(戏曲电影)	龙凤呈祥(京剧)
汤显祖传	梦寻
毁天灭地	黑暗入侵
明天	爱别离
鬼楼	楼
面孔	我被替换
王文良	稚子童心
北魏传奇3	北魏传奇之百草情恨
北魏传奇2	北魏传奇之风雨飘落都是爱
电影版杨光的快乐生活	杨光的快乐生活
北魏传奇5	北魏传奇之情缘
卧虎藏龙2：青冥宝剑	卧虎藏龙：青冥宝剑
卧虎藏龙Ⅱ青冥宝剑	卧虎藏龙：青冥宝剑
铁骑银瓶	卧虎藏龙：青冥宝剑
80后老爸	硬汉奶爸
慢慢爱之一日情	一日情
科洛弗档案3	科洛弗悖论
末世悖论(港)	科洛弗悖论
上帝粒子	科洛弗悖论
很久沒有敬我了妳	很久没有敬我了你
卡拉‧交响‧大乐队	很久没有敬我了你
水浒人物谱之霹雳火秦明	霹雳火秦明
清明列车	午夜火车
灵异列车	午夜火车
恋尚2013	谁动了我的梦想
奇异家族2	神秘世界历险记2
草原小屋	草原上的小屋
三少爷的剑3D	三少爷的剑
谁hold住谁	谁HOLD住谁
陆犯焉识	归来
桑桑和小貓	桑桑和小猫
那夜凌晨，我坐上了旺角開往大埔的紅VAN	那夜凌晨，我坐上了旺角开往大埔的红VAN
开往大埔的红VAN	那夜凌晨，我坐上了旺角开往大埔的红VAN
柒	一支录音笔的自白
杨妮妮和李娇娇的双重生活	杨妮妮与李娇娇的双重生活
止杀	止杀令
一言止杀	止杀令
妈妈片警	片警妈妈
單身男女II	单身男女2
水浒人物谱之金大坚与萧让	金大坚与萧让
化粧师	化妆师
昆曲电影红楼梦	红楼梦
美版我脑海中的橡皮擦	铭记之瞬
笔仙2	笔仙Ⅱ
传送门电影版	传送门
如果不能好好爱	脱轨时代
爱在耶路撒冷	脱轨时代
水浒人物谱之石将军石勇	石将军石勇
风雨日升昌	风雨日昇昌
相愛的七種設計	如果爱能设计
相爱的七种设计	如果爱能设计
我的恋爱时代	如果爱能设计
我的身上有刺青	胜利
画框女人	画框里的女人
少年英雄哪吒	哪吒传奇首部曲
启功	启功轶事
黑猫警长2：翡翠之星	黑猫警长之翡翠之星
黑猫警长2：决战“翡翠之星”	黑猫警长之翡翠之星
黑猫警长2电影版	黑猫警长之翡翠之星
怨灵人偶3D	怨灵人偶
咒丝	咒·丝
大耳朵图图电影版	大耳朵图图之美食狂想曲
大耳朵图图：美食狂想曲	大耳朵图图之美食狂想曲
杀手的保镖	王牌保镖
杀手保镖(台)	王牌保镖
保镖救杀手(港)	王牌保镖
血祭哈啰喂(港)	地狱游乐园
吓地狱(台)	地狱游乐园
深水地平线	深海浩劫
怒火地平线(台)	深海浩劫
顶包	我爸
Delete愛人	百变爱人
删除爱人	百变爱人
衝鋒戰警	冲锋战警
警长	冲锋战警
猛龍特囧	猛龙特囧
神魔	降魔传
济公	降魔传
神魔道	降魔传
黑色喜劇	黑色喜剧
十二星座发财梦之毕业这几年	毕业这几年
男欢·女爱	欢·爱
男欢女爱	欢·爱
欢爱	欢·爱
夜半奇谭之附近的人	怪谈
对方正在输入中	怪谈
爱心让我们一起舞蹈II	和梦一起飞
记忆周江疆	最美高富帅
新红河谷	爱未央
惊魂六年间	六年
别找到我	六年
野人	大脚印
这里是三里屯	这是三里屯
青春期3D剧场版	青春期4
诡影重重之封门村	封门诡影
4楼B座	4B青年之4楼B座
四楼B座	4B青年之4楼B座
终极解码	特殊身份
赛尔号3	赛尔号大电影3之战神联盟
赛尔号大电影3：战神联盟	赛尔号大电影3之战神联盟
姐十八来郎十八	保安刘十八
战逆豪情(港)	狂怒
怒火特攻队(台)	狂怒
暴怒	狂怒
少女传奇吴健雄	吴健雄
小润	一直是晴天
父子神探（第十部）	父子神探之卧雪图
父子神探（第九部）	父子神探之雨夜迷踪
骡子的1万米	骡子的10000米
火线追凶之不白之冤	火线追凶2之不白之冤
火线追凶之致命线人	火线追凶2之致命线人
火线追凶之乱世残局	火线追凶2之乱世残局
火线追凶之押解惊魂	火线追凶2之押解惊魂
狂野时速7(港)	速度与激情7
玩命关头7(台)	速度与激情7
圣诞怪怪杰(港)	绿毛怪格林奇
鬼灵精(台)	绿毛怪格林奇
圣诞怪杰	绿毛怪格林奇
苏斯博士的圣诞怪杰	绿毛怪格林奇
殺破狼2	杀破狼2
杀破狼2之杀无赦	杀破狼2
魔力一点点	摩登年代
欧了大卫	摩登年代
魔力万丈	摩登年代
情戒	情·戒
爱情博弈	放手爱
昆塔三部曲之盒子总动员	昆塔：盒子总动员
开心宝贝大电影	开心超人
马尔代夫遇见爱	马尔代夫遇贱爱
梅园岁月	一号目标
老人与枪	老人和枪
无缘无故	一路狂奔
铠甲勇士电影版	铠甲勇士之雅塔莱斯
铠甲勇士雅塔莱斯	铠甲勇士之雅塔莱斯
飞来鸿福	我们的安娜
勇敢游戏	时光恋人
盗梦1949	时光恋人
秦腔《海瑞驯虎》	海瑞驯虎
火线追凶之污点证人	火线追凶2之夺命书院
盂蘭神功	盂兰神功
格蕾塔	遗孀秘闻
寡妇	遗孀秘闻
跨境追捕	绝地逃亡
跳跃追踪	绝地逃亡
记得少年那首歌1969	记得少年那首歌
少年时光	记得少年那首歌
让爱回家	爱·回家
十分梦想微电影之红豆花开	红豆花开
爱情嫌疑犯	心咒
情迷惊梦	心咒
盛夏晚晴天电影版	爱在晚晴天
极速雄师2005	不停站的列车
龙虎豹	枭龙
在那遥远的小山村	阳光留守
小神来了：流星的魔法夜	小神来了
“封”门村	封门村
追回我的新娘	落跑新娘
瑞奇与叮当	银河守卫队
拉捷特与克拉克(台)	银河守卫队
玩命快递：肆意横行(台)	玩命速递：重启之战
玩命快递4	玩命速递：重启之战
非常人贩4	玩命速递：重启之战
玩命速递4	玩命速递：重启之战
梦魇惊情	诡魇
不法之徒	烈日灼心
法外之徒	烈日灼心
太阳黑子	烈日灼心
光斑	烈日灼心
小时代2	小时代2：青木时代
魁拔3	魁拔Ⅲ战神崛起
魁拔3战神崛起	魁拔Ⅲ战神崛起
魁拔3之战神崛起	魁拔Ⅲ战神崛起
福建女孩	高三女生部落格
狄道传奇	小西天狄道传奇
西部传奇	小西天狄道传奇
对你说	青春派
不需要初恋的夏天	青春派
最美乡村医生	最美的乡村医生
遥远的武功山	遥远的天熊山
遥远的大熊山	遥远的天熊山
香港仔	人间·小团圆
人间小团圆	人间·小团圆
曼珠沙华	人间·小团圆
北京爱情故事电影版	北京爱情故事
北爱电影版	北京爱情故事
夺命之旅	夺命旅行
豹女之夺命之旅	夺命旅行
夺面旅行	夺命旅行
家住泰山	山子的一家
剩女大逃亡	冷恋时代
北京，纽约	北京纽约
北京·纽约	北京纽约
催眠档案之彻夜未眠	催眠大师
一夜种马	有种你爱我
蝶变	蝴蝶海
夜孔雀·如果没有遇见你	夜孔雀
太空熊猫	太空熊猫历险记
飞鱼服绣春刀	绣春刀
斩立决	绣春刀
小丁奇遇记	丁丁奇遇记
女儿当自强	杨门女将之女儿当自强
微电影断弦	断弦
校园电影断弦	断弦
华科断弦	断弦
华科首部电影断弦	断弦
人人知道我爱你	像风一样行走
微时代的爱情	微爱之渐入佳境
微信时代的文艺爱情	微爱之渐入佳境
旧社会	罗曼蒂克消亡史
浮生如梦	罗曼蒂克消亡史
喜羊羊与灰太狼6	喜羊羊与灰太狼之飞马奇遇记
喜羊羊与灰太狼大电影6飞马奇遇记	喜羊羊与灰太狼之飞马奇遇记
迷魂	迷魂之密室逃脱
大学那点事儿之屌丝的逆袭	屌丝的逆袭
假冒者们	伪装者
冒充者们	伪装者
变异危机小于PM2.5	变异危机＜PM2.5
特种兵之战狼	战狼
兵锋	战狼
熊出没大电影	熊出没之夺宝熊兵
熊出没电影版	熊出没之夺宝熊兵
后宫诡影	深宫怨灵
后宫魅影	深宫怨灵
鬼迷宫	深宫怨灵
活尸	深宫怨灵
辛亥元勋	辛亥元勋蒋翊武
我是狼	我是狼之火龙山大冒险
江湖论贱实录	江湖论剑实录
江湖论贱	江湖论剑实录
即刻发生的搞笑绑架案	即刻发生
复仇者联盟3：无限之战(港)	复仇者联盟3：无限战争
复仇者联盟：无限之战(台)	复仇者联盟3：无限战争
复仇者联盟3：无尽之战	复仇者联盟3：无限战争
复联3	复仇者联盟3：无限战争
妇联3(豆友译名)	复仇者联盟3：无限战争
复仇者联盟3：灭霸传(豆友译名)	复仇者联盟3：无限战争
重振精武門	重振精武门
新精武门2	重振精武门
盗墓笔记电影版	盗墓笔记
陆川版鬼吹灯	九层妖塔
鬼吹灯之九层妖塔	九层妖塔
吹灯传说之精绝古城	九层妖塔
鬼吹灯	九层妖塔
马恒昌的名言	开国劳模马恒昌
开国劳模	开国劳模马恒昌
同桌的你	同桌的妳
唐家岭	今天明天
夺命训练班	海角惊魂
走进西藏	世界屋脊的歌声
小时代3	小时代3：刺金时代
小时代4	小时代4：灵魂尽头
不摇你就滚	那些五脊六兽的日子
爱情公寓电影版	爱情公寓
穿越时空的守护者	爱情公寓
终于，又双叒叕回来搞事情了	爱情公寓
新次元冒险家	爱情公寓
盗墓笔记同人版	爱情公寓
爱情公墓(豆友译名)	爱情公寓
81号农场	81号农场之保卫麦咭
这个杀手也不冷	冰封
闹在囧途	闹在碗中
愛·尋·迷	爱寻迷
高铁英雄电影版	高铁英雄
劇場版 トレインヒーロー	高铁英雄
客家妈妈	衍香
笔仙III	笔仙3
毒爱	毒·爱
我的老公是卧底	毒·爱
欢乐时光	快乐时光
拆弹军人	拆弹英雄
赵小亭	青春的应答
生命的应答	青春的应答
山路十八弯	南国
流氓之小流氓	流氓
南漂	她们，他们
天使love	天使LOVE之歧途
夜夜夜	疯狂72小时
很爱很爱你	狠狠爱
12公民	十二公民
十二个中国人	十二公民
我的春梦	我的青春期
我的青春	我的青春期
我的青春梦	我的青春期
飞越自由	移动的艺术
冬天不冷	疯狂的导演
细娃儿的呼唤	细娃的呼唤
我的第四个老公	好命先生
国家利益	难忘金银滩
大峡谷	赤道
赤盗	赤道
迷失的今天	今天
冰封侠：时空大战(港)	冰封侠：时空行者
时空行者	冰封侠：时空行者
冰封：永恒之门	冰封侠：时空行者
冰封2：永恒之门	冰封侠：时空行者
冰封2：回到未来	冰封侠：时空行者
3D冰封侠2	冰封侠：时空行者
黄飞鸿	黄飞鸿之英雄有梦
人品鉴定	衡量一个人
夫妻对换	换爱之夜
儿子娃娃向前冲	我和我的小伙伴
夜店北京2：女神本色	夜店北京2：女神禁区
傻X时代	傻瓜时代
地下电影：保安，保安的朋友，保安的朋友的女朋友	傻瓜时代
协议	风尘劫
金雞SSS	金鸡SSS
金鸡3	金鸡SSS
幸福的泪	我的母亲
妈妈的爱	我的母亲
红雀特工(港)	红雀
红色麻雀	红雀
红燕子	红雀
红麻雀	红雀
朱雀	红雀
201413·爱你一世一生	爱你一世一生
山路十八弯	青葱那年
南国	青葱那年
痞子英雄2：黎明再起	痞子英雄2：黎明升起
痞子英雄2	痞子英雄2：黎明升起
痞子英雄电影版2	痞子英雄2：黎明升起
痞子英雄之黎明升起	痞子英雄2：黎明升起
夏日后的远行	夏日的远行
人再囧途之港囧	港囧
人在囧途之港囧	港囧
泰囧续集	港囧
花开	花开与你的半夏
真爱无悔	下一站再爱你
天使有约	下一站再爱你
毕业48小时	我们毕业的夏天
我的十字路口	父子战争
盜馬記	盗马记
贩马记	盗马记
一步双城	一生一世
心城	一生一世
异度曝光	诡替身
狗13	狗十三
爱因斯坦和爱因斯坦	狗十三
8点45分	八点四十五分
玩命邂逅	心花路放
玩儿命邂逅	心花路放
心花怒放	心花路放
病例	保持安静
羞耻病	保持安静
远东一九三二（上）阴阳大逆转	远东一九三二（上）阴阳大策反
英雄·本色	英雄之战
龙震天下	英伦对决
普通人	英伦对决
中国人	英伦对决
外国佬	英伦对决
菇乡情缘	第一次牵手
聊斋之宅妖	捉妖记
聊斋之捉妖记	捉妖记
點對點	点对点
永春白鹤拳	永春白鹤拳之擎天画卷
去死！	嘿
寻找麦卡尼	寻找罗麦
N见钟情	37次想你
幸福中转站	幸福中转栈
聊斋·非狐外传	非狐外传
全家福	父亲的旅程
天台	天台上的爱情
我想结婚	我想结婚的时候你在哪
动机	折影
二胡大师黄海怀	黄海怀
伊甸园之东下	伊甸园之东2
温州保姆	一个温州的女人
出镜入境	一个温州的女人
悠长世纪恋爱假期	恋爱假期
梦游症和神经病	恋爱假期
7日	七日
深夜前的5分钟	深夜前的五分钟
凌晨前的五分钟	深夜前的五分钟
真夜中の5分前	深夜前的五分钟
打望	爱情幸运星之打望
F-TYPE 非你莫属	非你莫属
谁是卧底之王牌	王牌
寒蟬效應	不能说的夏天
寒蝉	不能说的夏天
桃花红 杏花白	没眼人
早安·冬日海	早安，冬日海
左耳电影版	左耳
恐怖在線	午夜43路
幸福快遞	幸福快递
包打探：铁血兵团	暴走神探
包打探手记	暴走神探
转身遇到她	0.5的爱情
上海之恋	我们结婚吧
摇滚狗波迪	摇滚藏獒
我们，结婚吧	我们结婚吧
喋血神兵	黔东烽火
十五少年漂流記 海賊島DE！大冒険(日)	喵星少年漂流记
十五少年漂流记 海贼岛大冒险	喵星少年漂流记
外冲里不冲	青瓷迷踪
老男孩之猛龙过江	老男孩猛龙过江
老男孩电影版	老男孩猛龙过江
特工艾米拉之生化危机	特工艾米拉
戴笠之死	岱山秘案
逃避侮辱的人	被淘汰的人
花瑶	花瑶情
闺蜜之青春盛宴	青春盛宴
外围	青春盛宴
暗夜迷眸	闪魂
木兰传奇	花木兰传奇
城市爱情1997	冬日爱情
人心可畏	猜心之人心可畏
爱，西施豆腐	爱·西施豆腐
踏雪寻梅之蝶记江湖	踏雪寻梅
滿月酒	满月酒
藥命實驗	后知后觉
荣誉的证明	舍身技
好人常慧珍	常慧珍
梅花胸针	爱情碰碰撞
强渡乌江	强渡乌江之对岸
突破乌江	强渡乌江之对岸
女人与老头	迟与暮
如此美好	迟与暮
侠僧探案传奇3	侠僧探案传奇之白马镖局
少林寺探案传奇之白马镖局	侠僧探案传奇之白马镖局
消失的子弹2	消失的凶手
败女大翻身	美人邦
古剑奇谭2：偃师传奇	古剑奇谭2：永夜初晗
青春的季节之爱情的果实	青春的季节
风雨杨开慧	毛泽东与杨开慧
梦想预备生之半熟少女	半熟少女
半熟少女之梦想预备生	半熟少女
爱情达人	有招没招之爱情达人
送你一束玫瑰花	了不起的村庄
血色挂云山	挂云山
楚汉风云	大汉风之霸王别姬
霸王别姬	大汉风之霸王别姬
《智盗海鳅图》	顾大嫂与孙新
爸爸去哪儿电影版	爸爸去哪儿
爸爸去哪儿大电影	爸爸去哪儿
整容医院背后的故事	完美
寻龙	龙在哪里？
龙在哪儿	龙在哪里？
记忆森林：张家界之恋	记忆森林
愛琳娜	爱琳娜
马！笔！剑！人	世事难料2
世事难料 第二季	世事难料2
巴啦啦小魔仙2	巴啦啦小魔仙之魔法的考验
Z風暴	反贪风暴
Z风云	反贪风暴
反贪风暴2014	反贪风暴
笑弹龙虎榜	新白头神探
七宝传奇之汆来神钟	神钟
七宝传神之氽来神钟	神钟
澳門街	澳门街
沙人	睡魔
睡魔：序曲	睡魔
约翰·威克	疾速追杀
杀神(港)	疾速追杀
捍卫任务(台)	疾速追杀
亲爱的小孩	亲爱的
打拐	亲爱的
家之亲爱的小孩	亲爱的
小镇之光	南方小镇
最强对手	解救吾先生
怪蛋传奇	怪蛋之谜
少林武士	少林武僧
西游2：伏妖篇	西游伏妖篇
西游降魔篇2	西游伏妖篇
西游·降魔篇2	西游伏妖篇
西游·降魔2	西游伏妖篇
枪	鹦哥岭，最后一
情趣产品体验员	拼时代
潜艇总动员4：章鱼保罗	潜艇总动员4：章鱼奇遇记
斐济99度爱情	斐济99℃爱情
斐济99℃的爱情	斐济99℃爱情
聪明的一休	聪明的一休之反斗公主
一休小和尚	聪明的一休之反斗公主
一休さん	聪明的一休之反斗公主
十万个冷笑话电影版	十万个冷笑话
我愛草食男2	我爱草食男2
毕业那年2	毕业那年：分手季
十万伙急	热血男人帮
热血天团	热血男人帮
PK白富美	情战
我们的存在-梦想启航	我们的存在WE
极限追捕(港)	极盗者
飙风特攻(台)	极盗者
惊爆点	极盗者
新终极豪情	极盗者
大茶飯	潜龙风云
衝鋒車	冲锋车
日月人鱼：国王的女儿	日月人鱼
路易十四与美人鱼	日月人鱼
顺溪的孩子	那年，温州
湄公河大案	湄公河行动
湄公河	湄公河行动
她的亡命之徒	一战到底
红夜2014	红夜
坚果行动2(台)	抢劫坚果店2
古惑松鼠之饥饿任务2(港)	抢劫坚果店2
坚果计划2	抢劫坚果店2
回家	反杀
横财局中局（港）	钞票飞
唐家山之恋	兰辉
魔幻仙踪之妈妈去哪儿	魔幻仙踪
致命绑架	领养惊魂
归还	领养惊魂
血泪代言	潜规则2：血泪代言
时光飞逝	时光列车
天将雄狮	天将雄师
天降雄狮	天将雄师
此去经年 之 共同度过	此去经年之共同度过
男人唔可以窮	男人不可以穷
分手100次	不再说分手
全力扣殺	全力扣杀
羽魔球	全力扣杀
野狼與瑪莉	野狼与玛莉
野狼与玛丽	野狼与玛莉
