"黄晓明,邓超,佟大为,杜鹃,王真儿,乔治·安东,杨晨,张籽沐,雷昊汶,佟磊,刘天佐,Claire Quirk,Daniel Berkey,公翠英,于膨玮,冯仑,宇轩,胡明杨,柏明,唐晓峰,凯特琳·菲茨杰拉德,杨轶,吴越坤,张跃德,毛大庆,田朴珺,John Taylor,闫锐,Barbara Malley,Tracey Ilgner,Catherine Gibson,Anthony Santoro,艾梓童,黄卫,黄天齐,康晟闻,雷瑷嘉","2013-05-17(中国大陆),2013-05-30(香港)",陈可辛,11529526,英语 / 汉语普通话,7.6,411240,中国大陆 / 香港,112分钟,中国合伙人,剧情,2013
"周冬雨,马思纯,李程彬,李萍,蔡纲,蒙亭宜,沙全泽,姚欣言,李昊芳,蒋亭轩","2016-09-14(中国大陆),2016-10-27(香港)",曾国祥,25827935,汉语普通话,7.6,338616,中国大陆 / 香港,109分钟,七月与安生,"剧情,爱情",2016
"徐峥,王宝强,黄渤,陶虹,谢楠,范冰冰",2012-12-12(中国大陆),徐峥,10574622,汉语普通话 / 英语 / 泰语,7.4,507358,中国大陆,105分钟,人再囧途之泰囧,喜剧,2012
"冯小刚,许晴,张涵予,刘桦,李易峰,吴亦凡,梁静,白举纲,于和伟,连奕名,尚语贤,鲁诺,管宗祥,尹力,余皑磊,宁浩,江珊,张译,郭京飞,张鲁一,赵毅,梁天,张一山,王俊凯,王源,易烊千玺,巴图","2015-12-24(中国大陆),2015-09-09(威尼斯电影节)",管虎,24751756,汉语普通话,7.8,465581,中国大陆,137分钟(中国大陆),老炮儿,"剧情,犯罪",2015
"赵英博,任敏,辛云来,章若楠,朱丹妮",2018-09-21(中国大陆),落落,27102569,汉语普通话,5.8,91688,中国大陆,104分钟,悲伤逆流成河,"剧情,爱情",2018
"章子怡,黄晓明,张震,王力宏,陈楚生,铁政,祖锋,米雪,王盛德,韩童生,王鑫,郑铮,章泽天,黄梦莹,林美秀,保罗·菲利普·克拉克,胡家华,伊娜,吴谨言,纪帅,王天泽,伍麟凯,都金翰",2018-01-12(中国大陆),李芳芳,6874741,汉语普通话,7.6,375734,中国大陆,138分钟,无问西东,"剧情,爱情,战争",2018
"周星驰,元秋,元华,黄圣依,梁小龙,陈国坤,田启文,林子聪,林雪,冯克安,释彦能,冯小刚,袁祥仁,张一白,赵志凌,董志华,何文辉,陈凯师,贾康熙,林子善,任珈锐,王仕颖","2004-12-23(中国大陆/香港),2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",周星驰,1291543,粤语 / 汉语普通话 / 手语,8.2,349799,中国大陆 / 香港,100分钟(3D重映),功夫,"喜剧,动作,犯罪,奇幻",2004
"汤唯,吴秀波,海清,宋美曼,宋美慧,金燕玲,买红妹,布拉德·哈德,李绮虹","2013-03-21(中国大陆),2016-03-29(重映)",薛晓路,10574468,汉语普通话 / 英语 / 闽南语,7.4,423232,中国大陆 / 香港,123分钟,北京遇上西雅图,"喜剧,爱情",2013
"白百何,井柏然,姜武,金燕玲,钟汉良,曾志伟,吴君如,汤唯,姚晨,闫妮,保剑锋,王栎鑫,郭晓东,李菁菁,田雨橙,张悦轩",2015-07-16(中国大陆),许诚毅,25723907,汉语普通话,6.7,309795,中国大陆 / 香港,118分钟,捉妖记,"喜剧,奇幻,古装",2015
"尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,樊光耀,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民","1987-10-04(东京国际电影节),1987-10-23(意大利)",贝纳尔多·贝托鲁奇,1293172,英语 / 汉语普通话 / 日语 / 俄语,9.1,249492,英国 / 意大利 / 中国大陆 / 法国 / 美国,163分钟,末代皇帝 The Last Emperor,"剧情,传记,历史",1987
"小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔,保罗·贝坦尼,丽贝卡·豪尔,乔恩·费儒,威廉姆·赛德勒,詹姆斯·戴尔,伊芳·齐玛,泰·辛普金斯,阿什利·汉弥尔顿,王学圻,范冰冰","2013-05-01(中国大陆),2013-04-18(伦敦首映),2013-05-03(美国)",沙恩·布莱克,3231742,英语 / 汉语普通话,7.7,262492,美国 / 中国大陆,134分钟(中国大陆),钢铁侠3 Iron Man 3,"动作,科幻",2013
"任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,查尔斯·亚瑟,王峰",2016-10-28(中国大陆),"周申,刘露",25921812,汉语普通话,8.3,405268,中国大陆,111分钟,驴得水,"剧情,喜剧",2016
"冯绍峰,陈柏霖,钟汉良,王珞丹,袁泉,陈乔恩,贾樟柯,白客,孔连顺,高华阳",2014-07-24(中国大陆),韩寒,25805741,汉语普通话 / 手语 / 粤语,7.1,430305,中国大陆,104分钟,后会无期,剧情,2014
